id,series_code,series_name,title,audience,duration_s,screenshot,need_record
001,A,政务公文合规,连夜核对公文段落序号一致性,政务文秘,30,W-TEXT,否
002,A,政务公文合规,红头文件密级一键自检,政务保密,32,W-TEXT,是
003,A,政务公文合规,涉密文档一键脱密,政务保密,33,W-TEXT,是
004,A,政务公文合规,脱密复原一键还原原文,政务保密,30,W-TEXT,是
005,A,政务公文合规,涉密关键词一键提取,政务保密,28,W-MORE,否
006,A,政务公文合规,政策公文风格一键改写,政务文秘,30,W-MORE,否
007,A,政务公文合规,内网离线也能用AI不出域,政企IT,34,W-MODEL,否
008,A,政务公文合规,口语稿正式化改写成公文,政务文秘,28,W-MORE,否
009,A,政务公文合规,通知公告秒生成标题,政务文秘,22,W-MORE,否
010,A,政务公文合规,政策原文带引用问答,政务研究,33,W-KB,是
011,A,政务公文合规,会议纪要一键成稿,政务文秘,30,W-MORE,否
012,A,政务公文合规,提取领导讲话行动项,政务文秘,28,W-MORE,否
013,A,政务公文合规,长文档段落结构优化,政务文秘,28,W-MORE,否
014,A,政务公文合规,公文术语全文统一,政务文秘,28,W-MORE,否
015,A,政务公文合规,本地云端混用安全用AI,政企IT,34,W-MODEL,否
016,A,政务公文合规,文档审计逐条合规检查,政务审核,33,W-AUDIT,是
017,A,政务公文合规,涉密词占位替换加复原闭环,政务保密,35,W-TEXT,是
018,A,政务公文合规,政务知识库连接配置,政企IT,32,W-KB,否
019,B,合同法务,合同关键条款秒提取,法务,30,W-MORE,是
020,B,合同法务,合同字段结构化抽取入表,法务,33,W-MORE,是
021,B,合同法务,逐条款风险审计,法务,34,W-AUDIT,是
022,B,合同法务,合同模板规则校验,法务,32,W-AUDIT,是
023,B,合同法务,批量合同字段提取,法务,32,W-AUDIT,是
024,B,合同法务,提取合同结论与风险,法务,30,W-MORE,否
025,B,合同法务,法规知识库问答带引用,法务,33,W-KB,是
026,B,合同法务,合同条款通俗化解读,法务,28,W-MORE,否
027,B,合同法务,表单模式辅助填报,法务,30,W-AUDIT,是
028,B,合同法务,合同模板导入导出复用,法务,28,W-AUDIT,否
029,B,合同法务,法务知识库一键下载原文,法务,30,W-KB,是
030,B,合同法务,合同翻译保留法律术语,涉外法务,30,W-TEXT,是
031,C,标书投标,标书赶工连夜扩写,投标,30,W-TEXT,否
032,C,标书投标,技术方案控篇幅缩写,投标,28,W-TEXT,否
033,C,标书投标,标书政策公文风格统一,投标,30,W-MORE,否
034,C,标书投标,提取评标结论与风险点,投标,30,W-MORE,否
035,C,标书投标,标书术语全文统一,投标,28,W-MORE,否
036,C,标书投标,招标文件知识库问答,投标,33,W-KB,是
037,C,标书投标,投标方案换种方式重写,投标,28,W-TEXT,否
038,C,标书投标,标书AI痕迹检查,投标,30,W-TEXT,是
039,C,标书投标,标书提炼关键词,投标,24,W-TEXT,否
040,C,标书投标,标书生成章节标题,投标,24,W-MORE,否
041,D,通用写作提效,一句话换种方式重写,通用办公,24,W-TEXT,否
042,D,通用写作提效,内容不够一键扩写,通用办公,24,W-TEXT,否
043,D,通用写作提效,篇幅超了一键缩写,通用办公,24,W-TEXT,否
044,D,通用写作提效,全文润色优化,通用办公,26,W-MORE,否
045,D,通用写作提效,口语正式化改写,通用办公,26,W-MORE,否
046,D,通用写作提效,术语通俗化改写,通用办公,26,W-MORE,否
047,D,通用写作提效,一键纠正拼写和语法,通用办公,28,W-TEXT,是
048,D,通用写作提效,AI痕迹检查降AI味,通用办公,30,W-TEXT,是
049,D,通用写作提效,一键提炼关键词,通用办公,22,W-TEXT,否
050,D,通用写作提效,看不懂的批注一键解释,通用办公,26,W-TEXT,否
051,D,通用写作提效,超链接内容一键解释,通用办公,24,W-TEXT,否
052,D,通用写作提效,长文一键生成标题,通用办公,22,W-MORE,否
053,D,通用写作提效,段落结构一键优化,通用办公,26,W-MORE,否
054,D,通用写作提效,选中即问右键加入AI助手,通用办公,26,W-ABOUT,是
055,E,摘要会议纪要,长文档一键生成摘要,职场通用,28,W-TEXT,否
056,E,摘要会议纪要,管理层版摘要报告模式,管理层,30,W-ASSIST,是
057,E,摘要会议纪要,会议纪要一键成稿,职场通用,30,W-MORE,否
058,E,摘要会议纪要,提取会议行动项,职场通用,28,W-MORE,否
059,E,摘要会议纪要,提取结论与风险,管理层,30,W-MORE,否
060,E,摘要会议纪要,摘要写回到文档最前,职场通用,28,W-ABOUT,是
061,E,摘要会议纪要,多文档摘要汇总,职场通用,30,W-TEXT,否
062,E,摘要会议纪要,摘要加批注留痕,职场通用,28,W-TEXT,是
063,F,翻译多语言,选中段落一键翻译,涉外办公,24,W-TEXT,否
064,F,翻译多语言,多语言目标语言切换,涉外办公,26,W-TEXT,是
065,F,翻译多语言,中英对照翻译,涉外办公,26,W-TEXT,否
066,F,翻译多语言,翻译保留术语与排版,涉外办公,28,W-TEXT,否
067,F,翻译多语言,整篇外文文档快速读懂,涉外办公,30,W-TEXT,否
068,G,知识库RAG,绑定企业知识库,政企IT,30,W-KB,否
069,G,知识库RAG,三步连接自检测试连通,政企IT,32,W-KB,否
070,G,知识库RAG,回答自动带引用,知识管理,32,W-KB,是
071,G,知识库RAG,一键下载引用原文,知识管理,30,W-KB,是
072,G,知识库RAG,结构化问答有几个用户,数据分析,32,C-KBNEW,是
073,G,知识库RAG,结构化问答订单总额是多少,数据分析,32,C-KBNEW,是
074,G,知识库RAG,外部向量库语义检索,研发,32,C-KBNEW,是
075,G,知识库RAG,五类知识源一站接入,知识管理,33,C-KBNEW,否
076,G,知识库RAG,客户端知识中心统一管理,知识管理,30,C-KBLIST,否
077,G,知识库RAG,JWT个人账号连知识库,政企IT,30,W-KB,是
078,G,知识库RAG,HMAC部门共享账号连知识库,政企IT,32,W-KB,是
